DATE,DEUPROMANMISMEI
1975-07-01,50.4387064427175
1975-08-01,52.1433943344196
1975-09-01,52.2436700927551
1975-10-01,52.945600401103
1975-11-01,53.4469791927801
1975-12-01,53.7478064677864
1976-01-01,54.3494610177989
1976-02-01,55.0513913261469
1976-03-01,55.0513913261469
1976-04-01,55.6530458761594
1976-05-01,56.1544246678365
1976-06-01,56.8563549761845
1976-07-01,54.4497367761344
1976-08-01,55.9538731511657
1976-09-01,56.9566307345199
1976-10-01,56.8563549761845
1976-11-01,56.9566307345199
1976-12-01,57.3577337678616
1977-01-01,57.458009526197
1977-02-01,57.458009526197
1977-03-01,57.9593883178741
1977-04-01,56.9566307345199
1977-05-01,56.7560792178491
1977-06-01,57.7588368012033
1977-07-01,55.3522186011532
1977-08-01,57.6585610428679
1977-09-01,57.6585610428679
